"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
"all",0,NA,"foc_ha",2.56,"landscape",8,80,1,50
"all",0,NA,"npatch",20,"landscape",8,80,1,50
"all",0,NA,"tpa_ha",0.1951,"landscape",8,80,1,50
"all",0,NA,"mnpa_ha",0.009755,"landscape",8,80,1,50
"all",0,10,"MPCraw",4362.25363561714,"landscape",8,80,1,50
"all",0,10,"MPCdens",2.23590652773815,"landscape",8,80,1,50
"all",0,10,"MPCrmax",0.00106500332900809,"landscape",8,80,1,50
"all",0,100,"MPCraw",15095.2945571966,"landscape",8,80,1,50
"all",0,100,"MPCdens",7.7372088965641,"landscape",8,80,1,50
"all",0,100,"MPCrmax",0.00368537464775307,"landscape",8,80,1,50
"all",0,500,"MPCraw",19532.0530337633,"landscape",8,80,1,50
"all",0,500,"MPCdens",10.011303451442,"landscape",8,80,1,50
"all",0,500,"MPCrmax",0.00476856763519613,"landscape",8,80,1,50
"all",0,10,"MPCpimp",0.158201882038938,"landscape",8,80,1,50
"all",0,100,"MPCpimp",0.209629106740529,"landscape",8,80,1,50
"all",0,500,"MPCpimp",0.211686669308049,"landscape",8,80,1,50
"all",0,10,"ECA",794.293518795399,"landscape",8,80,1,50
"all",0,10,"ECA_AP",0.407121229520963,"landscape",8,80,1,50
"all",0,100,"ECA",1637.49777612762,"landscape",8,80,1,50
"all",0,100,"ECA_AP",0.839312032869103,"landscape",8,80,1,50
"all",0,500,"ECA",1879.52751260095,"landscape",8,80,1,50
"all",0,500,"ECA_AP",0.963366228908742,"landscape",8,80,1,50
"all",0,10,"ECAimp",4.20330729404464,"landscape",8,80,1,50
"all",0,100,"ECAimp",4.93789628259899,"landscape",8,80,1,50
"all",0,500,"ECAimp",4.98856801456303,"landscape",8,80,1,50
"all",0,10,"BC",18.9,"landscape",8,80,1,50
"all",0,10,"ND",9.8,"landscape",8,80,1,50
"all",0,100,"BC",21.6,"landscape",8,80,1,50
"all",0,100,"ND",18.9,"landscape",8,80,1,50
"all",0,500,"BC",21.6,"landscape",8,80,1,50
"all",0,500,"ND",18.9,"landscape",8,80,1,50
"all",0,NA,"NND",3.32023933018122,"landscape",8,80,1,50
"all",0,NA,"eucdist",5.73531509416103,"landscape",8,80,1,50
