"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
17,0,NA,"pa_ha",0.0021,"patch",13,80,1,50
2,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
5,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
10,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
18,0,NA,"pa_ha",0.0092,"patch",13,80,1,50
16,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
12,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
7,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
11,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
19,0,NA,"pa_ha",0.0085,"patch",13,80,1,50
3,0,NA,"pa_ha",0.0194,"patch",13,80,1,50
14,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
8,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
4,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
13,0,NA,"pa_ha",0.0097,"patch",13,80,1,50
17,0,10,"MPCpimp",0.00103150808306453,"patch",13,80,1,50
2,0,10,"MPCpimp",0.00552323587355143,"patch",13,80,1,50
5,0,10,"MPCpimp",0.0121650728473629,"patch",13,80,1,50
10,0,10,"MPCpimp",0.0240231971266473,"patch",13,80,1,50
18,0,10,"MPCpimp",0.0224016554318594,"patch",13,80,1,50
16,0,10,"MPCpimp",0.086754186169362,"patch",13,80,1,50
12,0,10,"MPCpimp",0.110648923537604,"patch",13,80,1,50
7,0,10,"MPCpimp",0.257573156936812,"patch",13,80,1,50
11,0,10,"MPCpimp",0.357432121344769,"patch",13,80,1,50
19,0,10,"MPCpimp",0.205157930046794,"patch",13,80,1,50
3,0,10,"MPCpimp",0.714549688649486,"patch",13,80,1,50
14,0,10,"MPCpimp",0.311513033221727,"patch",13,80,1,50
8,0,10,"MPCpimp",0.268167206318837,"patch",13,80,1,50
4,0,10,"MPCpimp",0.238310353234253,"patch",13,80,1,50
13,0,10,"MPCpimp",0.0803336067340542,"patch",13,80,1,50
17,0,100,"MPCpimp",0.0851059671447877,"patch",13,80,1,50
2,0,100,"MPCpimp",0.197045236992882,"patch",13,80,1,50
5,0,100,"MPCpimp",0.220228746678308,"patch",13,80,1,50
10,0,100,"MPCpimp",0.238805415842748,"patch",13,80,1,50
18,0,100,"MPCpimp",0.228354289977628,"patch",13,80,1,50
16,0,100,"MPCpimp",0.265842378449744,"patch",13,80,1,50
12,0,100,"MPCpimp",0.272660795964657,"patch",13,80,1,50
7,0,100,"MPCpimp",0.283313912262887,"patch",13,80,1,50
11,0,100,"MPCpimp",0.290929537946529,"patch",13,80,1,50
19,0,100,"MPCpimp",0.25834757204277,"patch",13,80,1,50
3,0,100,"MPCpimp",0.40522001697636,"patch",13,80,1,50
14,0,100,"MPCpimp",0.274040872881221,"patch",13,80,1,50
8,0,100,"MPCpimp",0.260084198960974,"patch",13,80,1,50
4,0,100,"MPCpimp",0.249856329163255,"patch",13,80,1,50
13,0,100,"MPCpimp",0.224088788199119,"patch",13,80,1,50
17,0,500,"MPCpimp",0.11232248567792,"patch",13,80,1,50
2,0,500,"MPCpimp",0.2450392614583,"patch",13,80,1,50
5,0,500,"MPCpimp",0.250741503660667,"patch",13,80,1,50
10,0,500,"MPCpimp",0.2550340283856,"patch",13,80,1,50
18,0,500,"MPCpimp",0.247485091626297,"patch",13,80,1,50
16,0,500,"MPCpimp",0.260834547047668,"patch",13,80,1,50
12,0,500,"MPCpimp",0.262201848114625,"patch",13,80,1,50
7,0,500,"MPCpimp",0.263981107605622,"patch",13,80,1,50
11,0,500,"MPCpimp",0.265093331347186,"patch",13,80,1,50
19,0,500,"MPCpimp",0.245423470018387,"patch",13,80,1,50
3,0,500,"MPCpimp",0.372752004461,"patch",13,80,1,50
14,0,500,"MPCpimp",0.261055223832695,"patch",13,80,1,50
8,0,500,"MPCpimp",0.257715313427104,"patch",13,80,1,50
4,0,500,"MPCpimp",0.25552041222572,"patch",13,80,1,50
13,0,500,"MPCpimp",0.249794899677258,"patch",13,80,1,50
17,0,10,"ECAimp",0.247965097331706,"patch",13,80,1,50
2,0,10,"ECAimp",3.33404985740993,"patch",13,80,1,50
5,0,10,"ECAimp",4.91802574726863,"patch",13,80,1,50
10,0,10,"ECAimp",5.21048922803112,"patch",13,80,1,50
18,0,10,"ECAimp",3.77333247104707,"patch",13,80,1,50
16,0,10,"ECAimp",5.43356642687816,"patch",13,80,1,50
12,0,10,"ECAimp",6.07241776994444,"patch",13,80,1,50
7,0,10,"ECAimp",6.2730296380233,"patch",13,80,1,50
11,0,10,"ECAimp",8.06254852950443,"patch",13,80,1,50
19,0,10,"ECAimp",4.53120345956683,"patch",13,80,1,50
3,0,10,"ECAimp",14.8721712050993,"patch",13,80,1,50
14,0,10,"ECAimp",6.23518004314832,"patch",13,80,1,50
8,0,10,"ECAimp",6.45693680607267,"patch",13,80,1,50
4,0,10,"ECAimp",5.19759084999642,"patch",13,80,1,50
13,0,10,"ECAimp",2.93363898799335,"patch",13,80,1,50
17,0,100,"ECAimp",1.08050761714225,"patch",13,80,1,50
2,0,100,"ECAimp",5.23075116058471,"patch",13,80,1,50
5,0,100,"ECAimp",5.86264679626502,"patch",13,80,1,50
10,0,100,"ECAimp",6.33178615068771,"patch",13,80,1,50
18,0,100,"ECAimp",5.87119767969388,"patch",13,80,1,50
16,0,100,"ECAimp",6.90241482086895,"patch",13,80,1,50
12,0,100,"ECAimp",7.0779315884938,"patch",13,80,1,50
7,0,100,"ECAimp",7.2114893048938,"patch",13,80,1,50
11,0,100,"ECAimp",7.37691357373061,"patch",13,80,1,50
19,0,100,"ECAimp",6.12438005745756,"patch",13,80,1,50
3,0,100,"ECAimp",14.2009059817908,"patch",13,80,1,50
14,0,100,"ECAimp",6.86484380909336,"patch",13,80,1,50
8,0,100,"ECAimp",6.48842194556362,"patch",13,80,1,50
4,0,100,"ECAimp",6.18707213066557,"patch",13,80,1,50
13,0,100,"ECAimp",5.56543303895618,"patch",13,80,1,50
17,0,500,"ECAimp",1.35431597661573,"patch",13,80,1,50
2,0,500,"ECAimp",6.31406695057038,"patch",13,80,1,50
5,0,500,"ECAimp",6.46951932178008,"patch",13,80,1,50
10,0,500,"ECAimp",6.58411999414041,"patch",13,80,1,50
18,0,500,"ECAimp",6.22140589849609,"patch",13,80,1,50
16,0,500,"ECAimp",6.72723649680681,"patch",13,80,1,50
12,0,500,"ECAimp",6.76259314115581,"patch",13,80,1,50
7,0,500,"ECAimp",6.7930795013922,"patch",13,80,1,50
11,0,500,"ECAimp",6.81897454794027,"patch",13,80,1,50
19,0,500,"ECAimp",5.90787149699752,"patch",13,80,1,50
