"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
15,0,NA,"pa_ha",0.0097,"patch",31,80,1,50
9,0,NA,"pa_ha",0.0097,"patch",31,80,1,50
21,0,NA,"pa_ha",0.0032,"patch",31,80,1,50
20,0,NA,"pa_ha",0.0043,"patch",31,80,1,50
6,0,NA,"pa_ha",0.0097,"patch",31,80,1,50
1,0,NA,"pa_ha",0.0097,"patch",31,80,1,50
17,0,NA,"pa_ha",0.0092,"patch",31,80,1,50
2,0,NA,"pa_ha",0.0092,"patch",31,80,1,50
15,0,10,"MPCpimp",0.184512589005432,"patch",31,80,1,50
9,0,10,"MPCpimp",0.22374745847365,"patch",31,80,1,50
21,0,10,"MPCpimp",0.0678927279778692,"patch",31,80,1,50
20,0,10,"MPCpimp",0.0597015104609672,"patch",31,80,1,50
6,0,10,"MPCpimp",0.649201428773473,"patch",31,80,1,50
1,0,10,"MPCpimp",0.647305697288094,"patch",31,80,1,50
17,0,10,"MPCpimp",0.102745784773229,"patch",31,80,1,50
2,0,10,"MPCpimp",0.238106340339112,"patch",31,80,1,50
15,0,100,"MPCpimp",0.36786439328549,"patch",31,80,1,50
9,0,100,"MPCpimp",0.391951139057824,"patch",31,80,1,50
21,0,100,"MPCpimp",0.211325570648472,"patch",31,80,1,50
20,0,100,"MPCpimp",0.255249751425648,"patch",31,80,1,50
6,0,100,"MPCpimp",0.420192060099711,"patch",31,80,1,50
1,0,100,"MPCpimp",0.405308819355606,"patch",31,80,1,50
17,0,100,"MPCpimp",0.361813202619576,"patch",31,80,1,50
2,0,100,"MPCpimp",0.359852414641207,"patch",31,80,1,50
15,0,500,"MPCpimp",0.382912993798057,"patch",31,80,1,50
9,0,500,"MPCpimp",0.388350434674639,"patch",31,80,1,50
21,0,500,"MPCpimp",0.220260140438117,"patch",31,80,1,50
20,0,500,"MPCpimp",0.257957662755464,"patch",31,80,1,50
6,0,500,"MPCpimp",0.394071923397015,"patch",31,80,1,50
1,0,500,"MPCpimp",0.390765220829964,"patch",31,80,1,50
17,0,500,"MPCpimp",0.374484138246588,"patch",31,80,1,50
2,0,500,"MPCpimp",0.373197515278632,"patch",31,80,1,50
15,0,10,"ECAimp",12.9167683738185,"patch",31,80,1,50
9,0,10,"ECAimp",12.9221005135688,"patch",31,80,1,50
21,0,10,"ECAimp",3.50619281838469,"patch",31,80,1,50
20,0,10,"ECAimp",3.07738897275995,"patch",31,80,1,50
6,0,10,"ECAimp",16.7379183874787,"patch",31,80,1,50
1,0,10,"ECAimp",15.9109199689394,"patch",31,80,1,50
17,0,10,"ECAimp",6.54128295432883,"patch",31,80,1,50
2,0,10,"ECAimp",7.8437434081035,"patch",31,80,1,50
15,0,100,"ECAimp",13.9244580865115,"patch",31,80,1,50
9,0,100,"ECAimp",14.9022970051931,"patch",31,80,1,50
21,0,100,"ECAimp",4.72762590263317,"patch",31,80,1,50
20,0,100,"ECAimp",6.60076495883928,"patch",31,80,1,50
6,0,100,"ECAimp",16.0125612584926,"patch",31,80,1,50
1,0,100,"ECAimp",15.2626436747868,"patch",31,80,1,50
17,0,100,"ECAimp",13.326223789752,"patch",31,80,1,50
2,0,100,"ECAimp",13.0462511338384,"patch",31,80,1,50
15,0,500,"ECAimp",14.7502187083684,"patch",31,80,1,50
9,0,500,"ECAimp",14.9806827641284,"patch",31,80,1,50
21,0,500,"ECAimp",4.90006797474505,"patch",31,80,1,50
20,0,500,"ECAimp",6.65119029675938,"patch",31,80,1,50
6,0,500,"ECAimp",15.2187645091703,"patch",31,80,1,50
1,0,500,"ECAimp",15.0566669538956,"patch",31,80,1,50
17,0,500,"ECAimp",14.0536157377231,"patch",31,80,1,50
2,0,500,"ECAimp",13.963584267713,"patch",31,80,1,50
15,0,10,"BC",6,"patch",31,80,1,50
9,0,10,"BC",6,"patch",31,80,1,50
21,0,10,"BC",4,"patch",31,80,1,50
20,0,10,"BC",3,"patch",31,80,1,50
6,0,10,"BC",9,"patch",31,80,1,50
1,0,10,"BC",5,"patch",31,80,1,50
17,0,10,"BC",0,"patch",31,80,1,50
2,0,10,"BC",0,"patch",31,80,1,50
15,0,10,"ND",5,"patch",31,80,1,50
9,0,10,"ND",6,"patch",31,80,1,50
21,0,10,"ND",6,"patch",31,80,1,50
20,0,10,"ND",7,"patch",31,80,1,50
6,0,10,"ND",7,"patch",31,80,1,50
1,0,10,"ND",7,"patch",31,80,1,50
17,0,10,"ND",6,"patch",31,80,1,50
2,0,10,"ND",4,"patch",31,80,1,50
15,0,100,"BC",6,"patch",31,80,1,50
9,0,100,"BC",6,"patch",31,80,1,50
21,0,100,"BC",4,"patch",31,80,1,50
20,0,100,"BC",3,"patch",31,80,1,50
6,0,100,"BC",9,"patch",31,80,1,50
1,0,100,"BC",5,"patch",31,80,1,50
17,0,100,"BC",0,"patch",31,80,1,50
2,0,100,"BC",0,"patch",31,80,1,50
15,0,100,"ND",7,"patch",31,80,1,50
9,0,100,"ND",7,"patch",31,80,1,50
21,0,100,"ND",7,"patch",31,80,1,50
20,0,100,"ND",7,"patch",31,80,1,50
6,0,100,"ND",7,"patch",31,80,1,50
1,0,100,"ND",7,"patch",31,80,1,50
17,0,100,"ND",7,"patch",31,80,1,50
2,0,100,"ND",7,"patch",31,80,1,50
15,0,500,"BC",6,"patch",31,80,1,50
9,0,500,"BC",6,"patch",31,80,1,50
21,0,500,"BC",4,"patch",31,80,1,50
20,0,500,"BC",3,"patch",31,80,1,50
6,0,500,"BC",9,"patch",31,80,1,50
1,0,500,"BC",5,"patch",31,80,1,50
17,0,500,"BC",0,"patch",31,80,1,50
2,0,500,"BC",0,"patch",31,80,1,50
15,0,500,"ND",7,"patch",31,80,1,50
9,0,500,"ND",7,"patch",31,80,1,50
21,0,500,"ND",7,"patch",31,80,1,50
20,0,500,"ND",7,"patch",31,80,1,50
6,0,500,"ND",7,"patch",31,80,1,50
1,0,500,"ND",7,"patch",31,80,1,50
17,0,500,"ND",7,"patch",31,80,1,50
2,0,500,"ND",7,"patch",31,80,1,50
15,0,NA,"NND",4.24264068711928,"patch",31,80,1,50
9,0,NA,"NND",4.24264068711928,"patch",31,80,1,50
21,0,NA,"NND",4.24264068711928,"patch",31,80,1,50
20,0,NA,"NND",15,"patch",31,80,1,50
6,0,NA,"NND",1,"patch",31,80,1,50
1,0,NA,"NND",1,"patch",31,80,1,50
17,0,NA,"NND",15,"patch",31,80,1,50
2,0,NA,"NND",14,"patch",31,80,1,50
