"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
27,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
32,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
36,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
37,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
15,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
28,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
9,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
21,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
20,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
6,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
1,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
25,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
17,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
23,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
2,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
35,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
5,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
10,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
18,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
26,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
41,0,NA,"pa_ha",0,"patch",26,80,1,50
30,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
24,0,NA,"pa_ha",0.0097,"patch",26,80,1,50
16,0,NA,"pa_ha",0.0092,"patch",26,80,1,50
12,0,NA,"pa_ha",0.0085,"patch",26,80,1,50
22,0,NA,"pa_ha",0.0085,"patch",26,80,1,50
27,0,10,"MPCpimp",0.00933907152683489,"patch",26,80,1,50
32,0,10,"MPCpimp",0.0110649199410898,"patch",26,80,1,50
36,0,10,"MPCpimp",0.0122849770291529,"patch",26,80,1,50
37,0,10,"MPCpimp",0.0110874601959748,"patch",26,80,1,50
15,0,10,"MPCpimp",0.0140389008647719,"patch",26,80,1,50
28,0,10,"MPCpimp",0.0123937478786961,"patch",26,80,1,50
9,0,10,"MPCpimp",0.0129043153551554,"patch",26,80,1,50
21,0,10,"MPCpimp",0.0186195212066706,"patch",26,80,1,50
20,0,10,"MPCpimp",0.0517791594109102,"patch",26,80,1,50
6,0,10,"MPCpimp",0.0355733988809464,"patch",26,80,1,50
1,0,10,"MPCpimp",0.0327229653817251,"patch",26,80,1,50
25,0,10,"MPCpimp",0.11183279672975,"patch",26,80,1,50
17,0,10,"MPCpimp",0.121278380868057,"patch",26,80,1,50
23,0,10,"MPCpimp",0.150863005682336,"patch",26,80,1,50
2,0,10,"MPCpimp",0.0671890206037021,"patch",26,80,1,50
35,0,10,"MPCpimp",0.0981164355831988,"patch",26,80,1,50
5,0,10,"MPCpimp",0.114594900329769,"patch",26,80,1,50
10,0,10,"MPCpimp",0.18315613143454,"patch",26,80,1,50
18,0,10,"MPCpimp",0.277813943191113,"patch",26,80,1,50
26,0,10,"MPCpimp",0.393164441256236,"patch",26,80,1,50
41,0,10,"MPCpimp",4.72919355656904e-17,"patch",26,80,1,50
30,0,10,"MPCpimp",0.411046660213631,"patch",26,80,1,50
24,0,10,"MPCpimp",0.488009728528048,"patch",26,80,1,50
16,0,10,"MPCpimp",0.294835123280335,"patch",26,80,1,50
12,0,10,"MPCpimp",0.186812383234161,"patch",26,80,1,50
22,0,10,"MPCpimp",0.349489475760738,"patch",26,80,1,50
27,0,100,"MPCpimp",0.165773738485594,"patch",26,80,1,50
32,0,100,"MPCpimp",0.161817268756414,"patch",26,80,1,50
36,0,100,"MPCpimp",0.169592953036916,"patch",26,80,1,50
37,0,100,"MPCpimp",0.17862230307367,"patch",26,80,1,50
15,0,100,"MPCpimp",0.193688128804193,"patch",26,80,1,50
28,0,100,"MPCpimp",0.193528504069847,"patch",26,80,1,50
9,0,100,"MPCpimp",0.19519845048553,"patch",26,80,1,50
21,0,100,"MPCpimp",0.206446920322173,"patch",26,80,1,50
20,0,100,"MPCpimp",0.223188526469263,"patch",26,80,1,50
6,0,100,"MPCpimp",0.210029949069637,"patch",26,80,1,50
1,0,100,"MPCpimp",0.198677372125395,"patch",26,80,1,50
25,0,100,"MPCpimp",0.224334443889456,"patch",26,80,1,50
17,0,100,"MPCpimp",0.230621691194009,"patch",26,80,1,50
23,0,100,"MPCpimp",0.2286037274236,"patch",26,80,1,50
2,0,100,"MPCpimp",0.20275609631196,"patch",26,80,1,50
35,0,100,"MPCpimp",0.199070906900805,"patch",26,80,1,50
5,0,100,"MPCpimp",0.209249560234698,"patch",26,80,1,50
10,0,100,"MPCpimp",0.212976045655811,"patch",26,80,1,50
18,0,100,"MPCpimp",0.219011185502026,"patch",26,80,1,50
26,0,100,"MPCpimp",0.212812259715251,"patch",26,80,1,50
41,0,100,"MPCpimp",9.05465814923533e-18,"patch",26,80,1,50
30,0,100,"MPCpimp",0.197121118040902,"patch",26,80,1,50
24,0,100,"MPCpimp",0.202645585654563,"patch",26,80,1,50
16,0,100,"MPCpimp",0.187684621958859,"patch",26,80,1,50
12,0,100,"MPCpimp",0.174216874345131,"patch",26,80,1,50
22,0,100,"MPCpimp",0.179353389357873,"patch",26,80,1,50
27,0,500,"MPCpimp",0.193427761103485,"patch",26,80,1,50
32,0,500,"MPCpimp",0.192367649114173,"patch",26,80,1,50
36,0,500,"MPCpimp",0.194517895421259,"patch",26,80,1,50
37,0,500,"MPCpimp",0.197013763324628,"patch",26,80,1,50
15,0,500,"MPCpimp",0.200359677642864,"patch",26,80,1,50
28,0,500,"MPCpimp",0.200350412861662,"patch",26,80,1,50
9,0,500,"MPCpimp",0.200838188716667,"patch",26,80,1,50
21,0,500,"MPCpimp",0.203223303865367,"patch",26,80,1,50
20,0,500,"MPCpimp",0.2067757446802,"patch",26,80,1,50
6,0,500,"MPCpimp",0.20385683721519,"patch",26,80,1,50
1,0,500,"MPCpimp",0.201389024856188,"patch",26,80,1,50
25,0,500,"MPCpimp",0.206914614501187,"patch",26,80,1,50
17,0,500,"MPCpimp",0.207775159587801,"patch",26,80,1,50
23,0,500,"MPCpimp",0.207419184302321,"patch",26,80,1,50
2,0,500,"MPCpimp",0.201851200937269,"patch",26,80,1,50
35,0,500,"MPCpimp",0.201556610707688,"patch",26,80,1,50
5,0,500,"MPCpimp",0.202911303096214,"patch",26,80,1,50
10,0,500,"MPCpimp",0.203379103893797,"patch",26,80,1,50
18,0,500,"MPCpimp",0.204522879005927,"patch",26,80,1,50
26,0,500,"MPCpimp",0.203415748986577,"patch",26,80,1,50
