"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
"all",0,NA,"foc_ha",2.56,"landscape",23,80,1,50
"all",0,NA,"npatch",38,"landscape",23,80,1,50
"all",0,NA,"tpa_ha",0.3524,"landscape",23,80,1,50
"all",0,NA,"mnpa_ha",0.00927368421052632,"landscape",23,80,1,50
"all",0,10,"MPCraw",4166.76302567561,"landscape",23,80,1,50
"all",0,10,"MPCdens",1.18239586426663,"landscape",23,80,1,50
"all",0,10,"MPCrmax",0.00101727612931533,"landscape",23,80,1,50
"all",0,100,"MPCraw",19713.3214970099,"landscape",23,80,1,50
"all",0,100,"MPCdens",5.59401858598466,"landscape",23,80,1,50
"all",0,100,"MPCrmax",0.00481282263110594,"landscape",23,80,1,50
"all",0,500,"MPCraw",31212.7021914662,"landscape",23,80,1,50
"all",0,500,"MPCdens",8.85717996352616,"landscape",23,80,1,50
"all",0,500,"MPCrmax",0.00762028862096342,"landscape",23,80,1,50
"all",0,10,"MPCpimp",0.0757759053137146,"landscape",23,80,1,50
"all",0,100,"MPCpimp",0.155616928849548,"landscape",23,80,1,50
"all",0,500,"MPCpimp",0.158520508141793,"landscape",23,80,1,50
"all",0,10,"ECA",980.608663963994,"landscape",23,80,1,50
"all",0,10,"ECA_AP",0.278265795676502,"landscape",23,80,1,50
"all",0,100,"ECA",2574.84363443733,"landscape",23,80,1,50
"all",0,100,"ECA_AP",0.730659374130911,"landscape",23,80,1,50
"all",0,500,"ECA",3288.58241236232,"landscape",23,80,1,50
"all",0,500,"ECA_AP",0.93319591724243,"landscape",23,80,1,50
"all",0,10,"ECAimp",2.15668474936779,"landscape",23,80,1,50
"all",0,100,"ECAimp",2.59826159627348,"landscape",23,80,1,50
"all",0,500,"ECAimp",2.62594609098029,"landscape",23,80,1,50
"all",0,10,"BC",14.1842105263158,"landscape",23,80,1,50
"all",0,10,"ND",9.68421052631579,"landscape",23,80,1,50
"all",0,100,"BC",66.7631578947368,"landscape",23,80,1,50
"all",0,100,"ND",36.8421052631579,"landscape",23,80,1,50
"all",0,500,"BC",66.7631578947368,"landscape",23,80,1,50
"all",0,500,"ND",36.8421052631579,"landscape",23,80,1,50
"all",0,NA,"NND",5.82460917407394,"landscape",23,80,1,50
"all",0,NA,"eucdist",7.51713277494069,"landscape",23,80,1,50
