"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
"all",0,NA,"foc_ha",2.56,"landscape",26,80,1,50
"all",0,NA,"npatch",26,"landscape",26,80,1,50
"all",0,NA,"tpa_ha",0.2396,"landscape",26,80,1,50
"all",0,NA,"mnpa_ha",0.00921538461538462,"landscape",26,80,1,50
"all",0,10,"MPCraw",3076.30877106933,"landscape",26,80,1,50
"all",0,10,"MPCdens",1.28393521330106,"landscape",26,80,1,50
"all",0,10,"MPCrmax",0.000751051946061848,"landscape",26,80,1,50
"all",0,100,"MPCraw",14453.376566555,"landscape",26,80,1,50
"all",0,100,"MPCdens",6.03229405949707,"landscape",26,80,1,50
"all",0,100,"MPCrmax",0.00352865638831909,"landscape",26,80,1,50
"all",0,500,"MPCraw",21067.688354138,"landscape",26,80,1,50
"all",0,500,"MPCdens",8.79285824463189,"landscape",26,80,1,50
"all",0,500,"MPCrmax",0.00514347860208447,"landscape",26,80,1,50
"all",0,10,"MPCpimp",0.133461956321829,"landscape",26,80,1,50
"all",0,100,"MPCpimp",0.191423908495522,"landscape",26,80,1,50
"all",0,500,"MPCpimp",0.192217861030014,"landscape",26,80,1,50
"all",0,10,"ECA",822.038505093448,"landscape",26,80,1,50
"all",0,10,"ECA_AP",0.343087856883743,"landscape",26,80,1,50
"all",0,100,"ECA",1872.92137879929,"landscape",26,80,1,50
"all",0,100,"ECA_AP",0.781686719031421,"landscape",26,80,1,50
"all",0,500,"ECA",2269.52445506788,"landscape",26,80,1,50
"all",0,500,"ECA_AP",0.947213879410634,"landscape",26,80,1,50
"all",0,10,"ECAimp",3.24914642545338,"landscape",26,80,1,50
"all",0,100,"ECAimp",3.79576261641346,"landscape",26,80,1,50
"all",0,500,"ECAimp",3.83702767729829,"landscape",26,80,1,50
"all",0,10,"BC",18.5384615384615,"landscape",26,80,1,50
"all",0,10,"ND",10.8461538461538,"landscape",26,80,1,50
"all",0,100,"BC",46.1153846153846,"landscape",26,80,1,50
"all",0,100,"ND",25,"landscape",26,80,1,50
"all",0,500,"BC",46.1153846153846,"landscape",26,80,1,50
"all",0,500,"ND",25,"landscape",26,80,1,50
"all",0,NA,"NND",4.00730825820656,"landscape",26,80,1,50
"all",0,NA,"eucdist",8.31434180897474,"landscape",26,80,1,50
